external_id,name,category_raw,address_clean,postcode_digits,city_market,lat,lon,website_norm,phones_e164,emails_final_clean,facebook_url_final_clean_best,instagram_url_final_clean_best,whatsapp_url_final_clean_best,youtube_url_final_clean_best,tiktok_url_final_clean_best,linkedin_url_final_clean_best,telegram_url_final_clean_best,twitter_url_final_clean_best,pinterest_url_final_clean_best,google_maps_url,open_status_norm,working_hours
ChIJeXXVRgD_sUAR1Y1oF1eYg-A,KALI - Beauty Center - Salon de înfrumusețare Centru București,Salon de înfrumusețare,"Strada Lipscani 77, Bucuresti",030167,București,44.4318239,26.1029725,https://kalibeautycenter.ro/,+40729167215,contact@kalibeautycenter.ro,https://www.facebook.com/profile.php?id=61552042437807,https://www.instagram.com/kali.beautycenter,,,https://www.tiktok.com/@kalibeautycenter,,,,,https://www.google.com/maps/place/KALI+-+Beauty+Center+-+Salon+de+%C3%AEnfrumuse%C8%9Bare+Centru+Bucure%C8%99ti/data=!4m7!3m6!1s0x40b1ff0046d57579:0xe083985717688dd5!8m2!3d44.4318239!4d26.1029725!16s%2Fg%2F11vk7qyjgr!19sChIJeXXVRgD_sUAR1Y1oF1eYg-A?authuser=0&hl=ru&rclk=1,unspecified,
ChIJYT9jXX__sUARHwl-U5Cot_E,Studio Beauty IL'egal,Salon de înfrumusețare,"bloc 85, Strada Matei Basarab nr 100, Bucuresti",030167,București,44.4308957,26.1290341,,+40726038200,,https://www.facebook.com/Studio.Beauty.ILegal,,,,,,,,,https://www.google.com/maps/place/Studio+Beauty+IL%27egal/data=!4m7!3m6!1s0x40b1ff7f5d633f61:0xf1b7a890537e091f!8m2!3d44.4308957!4d26.1290341!16s%2Fg%2F11jq93n4x7!19sChIJYT9jXX__sUARHwl-U5Cot_E?authuser=0&hl=ru&rclk=1,open,joi: 09–21; vineri: 09–21; sâmbătă: 09–20; duminică: Închis; luni: 09–21; marți: 09–21; miercuri: 09–21
ChIJo-qJIRT5sUARfJfC1GEYrp4,Emotions Salon,Salon de înfrumusețare,"Strada Lisabona 3, Bucuresti",011787,București,44.4568604,26.0953292,https://www.emotions-salon.ro/,+40729340078,contact@emotions-salon.ro,https://www.facebook.com/emotionssalon.ro,https://www.instagram.com/emotionssalon,https://api.whatsapp.com/send?phone=40729340078,,https://www.tiktok.com/@emotions.salon,,,,,https://www.google.com/maps/place/Emotions+Salon/data=!4m7!3m6!1s0x40b1f9142189eaa3:0x9eae1861d4c2977c!8m2!3d44.4568604!4d26.0953292!16s%2Fg%2F11p0vp1vr2!19sChIJo-qJIRT5sUARfJfC1GEYrp4?authuser=0&hl=ru&rclk=1,open,joi: 09–20; vineri: 09–20; sâmbătă: 09–17; duminică: Închis; luni: 09–20; marți: 09–20; miercuri: 09–20
ChIJE87T8Jn_sUARQD2zKg9YByo,Le Salon,Salon de înfrumusețare,"Strada Piața Amzei 7-9, Bucuresti",010342,București,44.4436511,26.0943681,,+40729090705,,,,,,,,,,,https://www.google.com/maps/place/Le+Salon/data=!4m7!3m6!1s0x40b1ff99f0d3ce13:0x2a07580f2ab33d40!8m2!3d44.4436511!4d26.0943681!16s%2Fg%2F11snyrvvly!19sChIJE87T8Jn_sUARQD2zKg9YByo?authuser=0&hl=ru&rclk=1,open,joi: 10–21; vineri: 10–21; sâmbătă: 09–17; duminică: Închis; luni: 10–21; marți: 10–21; miercuri: 10–21
ChIJRwku-e3_sUAR5gZB7uR8Sek,Hair Artist by Flory Niculae,Salon de înfrumusețare,"Strada Poiana Narciselor 5, Bucuresti",010158,București,44.4396662,26.0917388,,+40729610888,,,,,,,,,,,https://www.google.com/maps/place/Hair+Artist+by+Flory+Niculae/data=!4m7!3m6!1s0x40b1ffedf92e0947:0xe9497ce4ee4106e6!8m2!3d44.4396662!4d26.0917388!16s%2Fg%2F11f76_qv4_!19sChIJRwku-e3_sUAR5gZB7uR8Sek?authuser=0&hl=ru&rclk=1,open,joi: 09–20; vineri: 09–20; sâmbătă: 09–16; duminică: Închis; luni: 09–20; marți: 09–20; miercuri: 09–20
ChIJTykji5H_sUARvBFGNw0RqgQ,Honey Concept,Coafor,"Calea Floreasca 83, Bucuresti",014454,București,44.4586809,26.10051,,,,,https://instagram.com/honey.concept,,,,,,,,https://www.google.com/maps/place/Honey+Concept/data=!4m7!3m6!1s0x40b1ff918b23294f:0x4aa110d374611bc!8m2!3d44.4586809!4d26.10051!16s%2Fg%2F11pd3gbzgv!19sChIJTykji5H_sUARvBFGNw0RqgQ?authuser=0&hl=ru&rclk=1,open,joi: 10–22; vineri: 10–22; sâmbătă: 10–22; duminică: Închis; luni: 10–22; marți: 10–22; miercuri: 10–22
ChIJz2v6Pob_sUARA2e3yDnPFXA,Mad's Beauty Salon,Salon de înfrumusețare,"Strada Matei Basarab 71, Bucuresti",030167,București,44.4306974,26.12016,,+40766661308,,,,,,,,,,,https://www.google.com/maps/place/Mad%27s+Beauty+Salon/data=!4m7!3m6!1s0x40b1ff863efa6bcf:0x7015cf39c8b76703!8m2!3d44.4306974!4d26.12016!16s%2Fg%2F11gxwskdyj!19sChIJz2v6Pob_sUARA2e3yDnPFXA?authuser=0&hl=ru&rclk=1,open,joi: 10–21; vineri: 10–21; sâmbătă: 09–16; duminică: Închis; luni: 10–21; marți: 09–21; miercuri: 10–21
ChIJHccnx5X_sUARPqD7EaMnpjU,Sauvage by Dasha's curly,Salon de înfrumusețare,"Calea Moșilor 205, Bucuresti",030167,București,44.4410207,26.116859,https://sauvagebydashascurly.com/,+40212114515,,https://www.facebook.com/SauvageSalon,,,,,,,,,https://www.google.com/maps/place/Sauvage+by+Dasha%27s+curly/data=!4m7!3m6!1s0x40b1ff95c727c71d:0x35a627a311fba03e!8m2!3d44.4410207!4d26.116859!16s%2Fg%2F11f5hm1pd8!19sChIJHccnx5X_sUARPqD7EaMnpjU?authuser=0&hl=ru&rclk=1,open,joi: 09–21; vineri: 09–21; sâmbătă: 09–21; duminică: Închis; luni: 09–21; marți: 09–21; miercuri: 09–21
ChIJOa7W7O__sUAR8yryhT_adqw,The Beautiful Club,Salon de înfrumusețare,"Strada Pârgarilor 31-33, Bucuresti",021107,București,44.4560617,26.1168614,,+40748778285,,,,,,,,,,,https://www.google.com/maps/place/The+Beautiful+Club/data=!4m7!3m6!1s0x40b1ffefecd6ae39:0xac76da3f85f22af3!8m2!3d44.4560617!4d26.1168614!16s%2Fg%2F11trcz3hqn!19sChIJOa7W7O__sUAR8yryhT_adqw?authuser=0&hl=ru&rclk=1,open,joi: 10–20; vineri: 10–20; sâmbătă: 10–20; duminică: Închis; luni: 10–20; marți: 10–20; miercuri: 10–20
ChIJpanuuQb_sUAR63nOC7FTfno,Factory Salon,Salon de înfrumusețare,"Strada Colței 11, Bucuresti",030167,București,44.434267,26.105388,,+40733240480,,,,,,,,,,,https://www.google.com/maps/place/Factory+Salon/data=!4m7!3m6!1s0x40b1ff06b9eea9a5:0x7a7e53b10bce79eb!8m2!3d44.434267!4d26.105388!16s%2Fg%2F11glw0647t!19sChIJpanuuQb_sUAR63nOC7FTfno?authuser=0&hl=ru&rclk=1,open,joi: 10–21; vineri: 10–21; sâmbătă: 10–16; duminică: Închis; luni: 10–21; marți: 10–21; miercuri: 10–21
ChIJQ09E2_3-sUAR5walmCppxSI,Salon El Studio Timpuri Noi,Salon de înfrumusețare,"Strada V. V. Stanciu 9, Bucuresti",040433,București,44.4123271,26.1136415,https://www.el-studio.ro/,+40213308340,,https://www.facebook.com/elstudiostyle,,,,,,,,,https://www.google.com/maps/place/Salon+El+Studio+Timpuri+Noi/data=!4m7!3m6!1s0x40b1fefddb444f43:0x22c5692a98a506e7!8m2!3d44.4123271!4d26.1136415!16s%2Fg%2F11byl6tq3g!19sChIJQ09E2_3-sUAR5walmCppxSI?authuser=0&hl=ru&rclk=1,open,joi: 08–21; vineri: 08–21; sâmbătă: 08–21; duminică: 09–15; luni: 08–21; marți: 08–21; miercuri: 08–21
ChIJubUtnKf4sUARb8nEo3HswyQ,The Artisans,Salon de înfrumusețare,"Șoseaua Nordului 96f, Bucuresti",014104,București,44.4837008,26.0890961,https://theartisans.ro/,+40736227577,contact@theartisans.ro,https://www.facebook.com/Studio44Bucuresti,https://www.instagram.com/studio44.ro,,,,,,,,https://www.google.com/maps/place/The+Artisans/data=!4m7!3m6!1s0x40b1f8a79c2db5b9:0x24c3ec71a3c4c96f!8m2!3d44.4837008!4d26.0890961!16s%2Fg%2F11b6nnj7sy!19sChIJubUtnKf4sUARb8nEo3HswyQ?authuser=0&hl=ru&rclk=1,open,joi: 10–21; vineri: 10–21; sâmbătă: 09–17; duminică: Închis; luni: 10–21; marți: 10–21; miercuri: 10–21
ChIJacdOCLEBskAReblr17Mmm0U,Alexia Beauty Salon,Salon de înfrumusețare,"Bulevardul Iuliu Maniu nr 78-80, Bucuresti",061111,București,44.4344872,26.0282302,,+40774681145,,,https://www.instagram.com/salon_alexia_beauty,,,,,,,,https://www.google.com/maps/place/Alexia+Beauty+Salon/data=!4m7!3m6!1s0x40b201b1084ec769:0x459b26b3d76bb979!8m2!3d44.4344872!4d26.0282302!16s%2Fg%2F11f2w5491f!19sChIJacdOCLEBskAReblr17Mmm0U?authuser=0&hl=ru&rclk=1,open,joi: 09–21; vineri: 09–21; sâmbătă: 09–18; duminică: Închis; luni: 09–21; marți: 09–21; miercuri: 09–21
ChIJVVXZR3__sUARiOQZpCeMhqQ,ABBATE,Salon de înfrumusețare,"Calea 13 Septembrie 206, Bucuresti",050723,București,44.4201846,26.0636643,https://abbate.ro/page/22/abbate-13-septembrie-206.html,+40214117648,office@abbate.ro,https://www.facebook.com/pg/AbbateSalon,https://www.instagram.com/abbate_salon,,,,,,,,https://www.google.com/maps/place/ABBATE/data=!4m7!3m6!1s0x40b1ff7f47d95555:0xa4868c27a419e488!8m2!3d44.4201846!4d26.0636643!16s%2Fg%2F11f_0xlpft!19sChIJVVXZR3__sUARiOQZpCeMhqQ?authuser=0&hl=ru&rclk=1,open,joi: 08–21; vineri: 08–21; sâmbătă: 08–21; duminică: 08–14; luni: 08–21; marți: 08–21; miercuri: 08–21
